Date,Region,Product,Category,Sales_Amount,Units_Sold,Profit,Customer_Rating,Customer_Feedback,Sales_Rep,Store_Type,Promotion_Active,Shipping_Days,Return_Rate
2024-01-15,North,Laptop Pro,Electronics,1299.99,1,389.99,4.5,Great product but expensive,John Smith,Retail,Yes,3,0.05
2024-01-16,South,Office Chair,Furniture,249.99,3,74.99,4.2,Comfortable and sturdy,Sarah Johnson,Online,No,5,0.03
2024-01-17,East,Wireless Mouse,Electronics,29.99,15,8.99,4.8,Best mouse I've ever used,Mike Chen,Retail,Yes,2,0.01
2024-01-18,West,Standing Desk,Furniture,599.99,2,179.99,4.6,Love the height adjustment,Emily Davis,Online,No,7,0.04
2024-01-19,North,Monitor 27inch,Electronics,349.99,4,104.99,4.7,Crystal clear display,John Smith,Retail,Yes,3,0.02
2024-01-20,South,Ergonomic Keyboard,Electronics,89.99,8,26.99,4.3,Keys feel great,Sarah Johnson,Retail,No,2,0.06
2024-01-21,East,Desk Lamp,Furniture,39.99,12,11.99,4.1,Decent but not amazing,Mike Chen,Online,Yes,4,0.08
2024-01-22,West,USB Hub,Electronics,24.99,20,7.49,4.9,Perfect for my setup,Emily Davis,Retail,Yes,2,0.01
2024-01-23,North,Bookshelf,Furniture,129.99,5,38.99,4.4,Easy to assemble,John Smith,Online,No,6,0.05
2024-01-24,South,Webcam HD,Electronics,79.99,6,23.99,4.0,Video quality could be better,Sarah Johnson,Retail,No,3,0.12
2024-01-25,East,Office Chair,Furniture,249.99,7,74.99,4.5,Great value for money,Mike Chen,Online,Yes,5,0.03
2024-01-26,West,Laptop Pro,Electronics,1299.99,2,389.99,4.8,Absolutely love it,Emily Davis,Retail,No,3,0.02
2024-01-27,North,Wireless Mouse,Electronics,29.99,25,8.99,4.7,Responsive and reliable,John Smith,Retail,Yes,2,0.01
2024-01-28,South,Standing Desk,Furniture,599.99,3,179.99,4.2,A bit wobbly,Sarah Johnson,Online,No,7,0.09
2024-01-29,East,Monitor 27inch,Electronics,349.99,5,104.99,4.9,Exceeded expectations,Mike Chen,Retail,Yes,3,0.01
